order,id,parent,beginLine,beginColumn,endLine,endColumn,fullPath,CCid
4,372,SSResultSet.java,372,3,372,102,/src/smallsql/database/SSResultSet.java,10
4,253,ExpressionValue.java,253,7,253,81,/src/smallsql/database/ExpressionValue.java,0
4,174,ExpressionValue.java,174,7,174,95,/src/smallsql/database/ExpressionValue.java,68
4,333,LongTreeList.java,333,4,336,5,/src/smallsql/database/LongTreeList.java,83
4,150,ExpressionFunctionConvert.java,150,28,160,4,/src/smallsql/database/ExpressionFunctionConvert.java,13
4,44,ExpressionFunctionPower.java,44,4,47,5,/src/smallsql/database/ExpressionFunctionPower.java,63
4,48,DataSources.java,48,30,52,2,/src/smallsql/database/DataSources.java,76
4,76,TestOperatoren.java,76,8,76,86,/src/smallsql/junit/TestOperatoren.java,49
4,108,Where.java,108,43,115,2,/src/smallsql/database/Where.java,74
4,135,SSCallableStatement.java,135,55,143,5,/src/smallsql/database/SSCallableStatement.java,27
4,111,GroupResult.java,111,36,116,3,/src/smallsql/database/GroupResult.java,64
3,ExpressionFunctionATan2.java,database,0,0,0,0,/src/smallsql/database/ExpressionFunctionATan2.java,-1
4,64,Expressions.java,64,30,68,2,/src/smallsql/database/Expressions.java,76
4,95,TestOperatoren.java,95,26,104,5,/src/smallsql/junit/TestOperatoren.java,85
4,120,IndexScrollStatus.java,120,5,131,41,/src/smallsql/database/IndexScrollStatus.java,37
4,255,TestLanguage.java,255,16,258,17,/src/smallsql/junit/TestLanguage.java,33
4,56,Strings.java,56,26,60,2,/src/smallsql/database/Strings.java,30
4,110,TestExceptionMethods.java,110,12,115,13,/src/smallsql/junit/TestExceptionMethods.java,43
3,MutableNumeric.java,database,0,0,0,0,/src/smallsql/database/MutableNumeric.java,-1
4,237,ExpressionValue.java,237,7,238,20,/src/smallsql/database/ExpressionValue.java,29
4,211,TestOrderBy.java,211,2,218,3,/src/smallsql/junit/TestOrderBy.java,69
4,83,TestJoins.java,83,8,83,86,/src/smallsql/junit/TestJoins.java,67
4,78,TestJoins.java,78,8,78,86,/src/smallsql/junit/TestJoins.java,49
4,75,TestOperatoren.java,75,8,75,100,/src/smallsql/junit/TestOperatoren.java,57
4,1332,SQLParser.java,1332,32,1336,33,/src/smallsql/database/SQLParser.java,6
